QUD-prejacent,QUD-competence,Check,Gender,Age,English
(b) Whether the initial forensic investigation at the docks was competent,,Yes,Female,46,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Female,33,Yes
(a) Whether Fat Tony is alive,,Yes,Male,32,Yes
(a) Whether Fat Tony is alive,,Yes,Male,29,Yes
(b) Whether the initial forensic investigation at the docks was competent,,No,Female,27,Yes
(a) Whether Fat Tony is alive,,Yes,Male,37,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Female,50,Yes
,(a) Whether Fat Tony is alive,Yes,Female,30,No
(a) Whether Fat Tony is alive,,Yes,Male,31,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,30,Yes
(a) Whether Fat Tony is alive,,Yes,Male,54,Yes
(a) Whether Fat Tony is alive,,Yes,Male,24,Yes
(a) Whether Fat Tony is alive,,Yes,Male,30,Yes
(a) Whether Fat Tony is alive,,Yes,Male,28,Yes
(a) Whether Fat Tony is alive,,Yes,Male,48,Yes
(a) Whether Fat Tony is alive,,Yes,Female,34,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Female,24,Yes
(a) Whether Fat Tony is alive,,Yes,Female,53,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Female,23,Yes
,(a) Whether Fat Tony is alive,Yes,Male,32,No
(a) Whether Fat Tony is alive,,Yes,Male,22,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,28,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,33,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,58,Yes
,(a) Whether Fat Tony is alive,Yes,Male,35,Yes
(a) Whether Fat Tony is alive,,Yes,Male,28,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Female,41,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,24,Yes
,(a) Whether Fat Tony is alive,Yes,Female,36,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,27,No
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,39,Yes
(a) Whether Fat Tony is alive,,Yes,Female,34,Yes
(b) Whether the initial forensic investigation at the docks was competent,,Yes,Female,36,Yes
(a) Whether Fat Tony is alive,,Yes,Female,53,No
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Female,25,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,28,Yes
(a) Whether Fat Tony is alive,,Yes,Female,24,Yes
(a) Whether Fat Tony is alive,,Yes,Female,63,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Female,47,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Female,31,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,40,No
(a) Whether Fat Tony is alive,,Yes,Male,34,Yes
(a) Whether Fat Tony is alive,,Yes,Female,49,Yes
(a) Whether Fat Tony is alive,,Yes,Female,42,Yes
(a) Whether Fat Tony is alive,,Yes,Male,62,Yes
(a) Whether Fat Tony is alive,,Yes,Male,31,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Female,25,Yes
(a) Whether Fat Tony is alive,,Yes,Male,34,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,59,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,24,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,26,Yes
(a) Whether Fat Tony is alive,,Yes,Female,39,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,29,Yes
,(a) Whether Fat Tony is alive,Yes,Male,26,Yes
(a) Whether Fat Tony is alive,,Yes,Female,34,Yes
(a) Whether Fat Tony is alive,,Yes,Male,28,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,27,Yes
(a) Whether Fat Tony is alive,,Yes,Female,24,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,26,Yes
,(a) Whether Fat Tony is alive,Yes,Male,33,Yes
(a) Whether Fat Tony is alive,,Yes,Male,26,Yes
